Pricing Table,,,,,,,
package,Priority,,,,,,
carrier,AA,,,,,,
subcode,CUU,,,,,,
result_type,UNITLESS_PTABLE_TYPE,,,,,,
name,Priority Price Test_t,,,,,,
comment,Updating stale,,,,,,
attribute_group,TS,,,,,,
Pricelines,,,,,,,
Comment,Segment matches required,Travel dates (Start),Travel dates (End),Loc1,Loc2,Sector direction,Result
Random Testing,,08/06/2026,12/05/2026,P:RSW,P:GJT,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SAF,P:SJT,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SAN,P:LGA,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SAV,P:SJC,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SAV,P:SMX,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SHV,P:EWR,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SMF,P:BUR,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:STL,P:ABI,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:STL,P:SAV,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SWO,P:ATL,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SWO,P:GNV,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SWO,P:JAX,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SYR,P:AGS,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:TLH,P:LGA,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:TLH,P:SBP,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:TUS,P:PBI,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:TXK,P:ATL,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:TYS,P:LNK,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:TYS,P:MIA,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:YHZ,P:AUS,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:YHZ,P:GRR,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:YYC,P:MLI,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:YYC,P:PVD,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ACK,P:SCE,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:ACT,P:GPT,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:ATW,P:HRL,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ATW,P:SAN,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:AUS,P:ELP,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:AVP,P:BHM,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:AVP,P:ORF,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BGR,P:MSO,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BMI,P:MCO,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BNA,P:CHO,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:BOI,P:ALO,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:BOI,P:BWI,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BOS,P:RNO,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BRO,P:EVV,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BTV,P:MCO,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BUF,P:CHO,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BUF,P:CLL,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BWI,P:MAF,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BZN,P:LFT,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:CAE,P:GRI,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:CHA,P:LNK,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:CID,P:MSO,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:CLE,P:MCI,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:CRP,P:CMI,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:CRP,P:PIT,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:CRW,P:STS,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:DCA,P:GGG,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:DCA,P:RFD,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:DRO,P:DCA,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:DRO,P:PSP,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ECP,P:FLL,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:EGE,P:SHV,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:EUG,P:SGU,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:EVV,P:BUR,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:EYW,P:TPA,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:FLL,P:BFL,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:FSM,P:RDU,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:FSM,P:SHV,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:GCK,P:ATL,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:GCK,P:RIC,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:GGG,P:EWR,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:GJT,P:BPT,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GJT,P:JAX,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GJT,P:PHF,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GRB,P:TRI,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:GRK,P:BPT,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GRK,P:YYC,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:GSO,P:BZN,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:GSO,P:SMF,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:HOU,P:PDX,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:HOU,P:RIC,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:HTS,P:PSC,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:HTS,P:YUL,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:IAD,P:CWA,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:IAH,P:TVC,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ILM,P:HSV,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:ILM,P:JAX,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:JAN,P:RNO,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:LAX,P:SUN,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:LEX,P:ORH,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:LRD,P:MAF,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:LSE,P:BTR,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:LSE,P:DFW,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:LYH,P:ONT,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:LYH,P:SNA,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MCI,P:CRW,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MCO,P:MOB,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MFE,P:HOU,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MHK,P:MFR,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MHK,P:SDF,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MLI,P:SAT,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MSN,P:SWO,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MSP,P:ACK,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MYR,P:MGM,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:PNS,P:TYR,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:PNS,P:YQB,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:PSP,P:JFK,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:PWM,P:MRY,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:RAP,P:MSY,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:RDU,P:ART,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:RDU,P:MFE,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:RIC,P:LAS,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ROA,P:MFR,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:ROC,P:SAF,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:RST,P:JAX,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SBA,P:DCA,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SBA,P:HSV,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SBA,P:VPS,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SBP,P:BZN,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SBP,P:LAN,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SBY,P:YHZ,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SCE,P:LEX,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SDF,P:EGE,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SFO,P:YUM,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SGF,P:SCE,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SHD,P:EYW,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SHV,P:CWA,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SJT,P:ICT,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SJT,P:MEM,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SLC,P:BGR,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SPS,P:LCH,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:TLH,P:FSD,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:TPA,P:CVG,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:TPA,P:LBB,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:TVC,P:MYR,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:TXK,P:PBI,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:VPS,P:BPT,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:VPS,P:DRO,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:VPS,P:RIC,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:XNA,P:BRO,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ABE,P:BRO,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ABE,P:SUN,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ABE,P:TXK,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ACY,P:SDF,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ACY,P:SEA,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:AGS,P:SEA,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:AMA,P:SJC,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:ATW,P:GUC,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:AVL,P:GRI,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BIL,P:GNV,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BIS,P:VPS,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:BOS,P:CVG,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:BTV,P:AUS,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:BTV,P:FLO,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:CHA,P:ABE,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:CHA,P:BOS,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:CLD,P:SDF,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:CMI,P:CID,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:CRP,P:SGU,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:CVG,P:ACT,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:DAY,P:MSO,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:DCA,P:BWI,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:DSM,P:EGE,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:DSM,P:PHF,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:ERI,P:LEX,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:EVV,P:CID,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:EYW,P:BOI,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:FLO,P:YVR,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:FNT,P:BTV,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:FSD,P:PIA,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:GEG,P:HRL,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GNV,P:EWR,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GNV,P:GRR,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:GNV,P:SBY,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:GRB,P:FNT,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:GSO,P:PWM,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:HDN,P:AEX,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:HOU,P:MFR,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:HSV,P:EUG,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:ILG,P:DSM,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:JAN,P:SDF,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:LAS,P:EYW,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:LAS,P:PSC,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:LCH,P:MYR,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:LEX,P:DAB,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:LEX,P:SFO,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:LSE,P:HHH,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MCI,P:MLI,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MCO,P:LNK,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MCO,P:PVD,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MEM,P:BTV,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MGM,P:ONT,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MHK,P:EUG,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MHK,P:TXK,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MHK,P:YVR,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MKE,P:CRP,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MLB,P:ROW,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MLU,P:MEM,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:MSY,P:ABI,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MTJ,P:ABI,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:MYR,P:CLT,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:OAJ,P:STS,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:ORD,P:EWN,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:PDX,P:XNA,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:PHX,P:AEX,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:PNS,P:SBP,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:PSP,P:GJT,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:PVD,P:CRW,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:PWM,P:ACK,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:RIC,P:CRW,From Loc1 to Loc2,1.2
Random Testing,,08/06/2026,12/05/2026,P:SAN,P:STS,From Loc1 to Loc2,0.8
Random Testing,,08/06/2026,12/05/2026,P:SAT,P:CAK,From Loc1 to Loc2,1.2
